tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,354257.489700,3.103708,12.414925
iteracion,1,356233.421800,3.086492,12.346062
iteracion,2,346045.599500,3.177361,12.709539
iteracion,3,350752.479400,3.134722,12.538985
iteracion,4,345008.942900,3.186908,12.747728
iteracion,5,350356.278500,3.138267,12.553165
iteracion,6,344860.777600,3.188277,12.753205
iteracion,7,350437.814500,3.137537,12.550244
iteracion,8,344521.293100,3.191418,12.765771
iteracion,9,350361.213800,3.138223,12.552988
iteracion,10,344729.456100,3.189491,12.758063
iteracion,11,371184.839700,2.962167,11.848760
iteracion,12,351815.314500,3.125252,12.501105
iteracion,13,357961.650400,3.071591,12.286456
iteracion,14,350282.595700,3.138927,12.555805
iteracion,15,355067.013200,3.096631,12.386620
iteracion,16,349726.196700,3.143921,12.575781
iteracion,17,354684.147100,3.099974,12.399991
iteracion,18,349243.282800,3.148269,12.593170
iteracion,19,353504.443900,3.110319,12.441371
iteracion,20,344716.007800,3.189616,12.758561
iteracion,21,350543.961100,3.136587,12.546444
iteracion,22,344438.672800,3.192184,12.768834
iteracion,23,350687.667100,3.135302,12.541302
iteracion,24,344957.435600,3.187383,12.749631
iteracion,25,350227.854900,3.139418,12.557768
iteracion,26,344632.384900,3.190390,12.761656
iteracion,27,350580.149100,3.136263,12.545149
iteracion,28,344514.703400,3.191480,12.766016
iteracion,29,350376.062900,3.138090,12.552456
iteracion,30,344737.807100,3.189414,12.757754
iteracion,31,350605.566400,3.136036,12.544239
iteracion,32,365795.758300,3.005807,12.023322
iteracion,33,355172.193900,3.095714,12.382952
iteracion,34,345161.617500,3.185498,12.742089
iteracion,35,350464.581900,3.137297,12.549285
iteracion,36,344610.182800,3.190595,12.762479
iteracion,37,350294.601200,3.138820,12.555375
iteracion,38,344800.744500,3.188832,12.755425
iteracion,39,350208.902800,3.139588,12.558447
iteracion,40,344595.503100,3.190731,12.763022
iteracion,41,350217.806900,3.139508,12.558128
iteracion,42,344953.693900,3.187418,12.749769
iteracion,43,350491.376900,3.137058,12.548326
iteracion,44,344832.707100,3.188536,12.754243
iteracion,45,350754.750800,3.134702,12.538904
iteracion,46,344771.939500,3.189098,12.756491
iteracion,47,350726.868700,3.134951,12.539901
iteracion,48,344774.208800,3.189077,12.756407
iteracion,49,350927.367800,3.133160,12.532736
iteracion,50,344760.757100,3.189202,12.756905
iteracion,51,350405.291800,3.137828,12.551409
