tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,3735.617800,294.331938,1177.336735
iteracion,1,3545.948200,310.075491,1240.311425
iteracion,2,3570.542300,307.939673,1231.768089
iteracion,3,3631.801600,302.745510,1210.991279
iteracion,4,3556.360000,309.167696,1236.680220
iteracion,5,3540.061000,310.591153,1242.374091
iteracion,6,3536.259500,310.925040,1243.709650
iteracion,7,3555.488900,309.243443,1236.983208
iteracion,8,3528.957400,311.568405,1246.283128
iteracion,9,3659.476400,300.455996,1201.833154
iteracion,10,3516.531500,312.669353,1250.686953
iteracion,11,3548.260600,309.873415,1239.503115
iteracion,12,3513.750300,312.916836,1251.676895
iteracion,13,3516.952000,312.631969,1250.537416
iteracion,14,3571.895300,307.823028,1231.301507
iteracion,15,3519.876900,312.372182,1249.498261
iteracion,16,3540.252200,310.574379,1242.306993
iteracion,17,3516.367400,312.683944,1250.745319
iteracion,18,3524.423700,311.969196,1247.886304
iteracion,19,3519.371300,312.417058,1249.677766
iteracion,20,3547.353000,309.952696,1239.820245
iteracion,21,3514.266200,312.870900,1251.493147
iteracion,22,3526.694300,311.768340,1247.082875
iteracion,23,3520.601500,312.307891,1249.241093
iteracion,24,3554.390000,309.339051,1237.365642
iteracion,25,3520.843200,312.286451,1249.155335
iteracion,26,3520.445400,312.321739,1249.296485
iteracion,27,3525.930300,311.835894,1247.353093
iteracion,28,3554.733000,309.309202,1237.246248
iteracion,29,3525.280500,311.893374,1247.583012
iteracion,30,3530.722900,311.412608,1245.659937
iteracion,31,3515.977000,312.718663,1250.884197
iteracion,32,3524.296200,311.980482,1247.931450
iteracion,33,3547.988000,309.897223,1239.598349
iteracion,34,3536.023500,310.945792,1243.792657
iteracion,35,3557.206300,309.094142,1236.385999
iteracion,36,3517.842800,312.552803,1250.220750
iteracion,37,3540.860000,310.521068,1242.093747
iteracion,38,3513.164900,312.968978,1251.885462
iteracion,39,3513.817200,312.910879,1251.653064
iteracion,40,3511.771700,313.093140,1252.382114
iteracion,41,3537.313500,310.832395,1243.339067
iteracion,42,3515.727300,312.740874,1250.973039
iteracion,43,3515.402200,312.769796,1251.088728
iteracion,44,3516.809700,312.644619,1250.588016
iteracion,45,3544.244100,310.224577,1240.907777
iteracion,46,3516.397600,312.681259,1250.734577
iteracion,47,3510.840300,313.176201,1252.714362
iteracion,48,3510.936100,313.167656,1252.680180
iteracion,49,3516.481200,312.673825,1250.704843
iteracion,50,3543.824200,310.261335,1241.054809
iteracion,51,3518.989000,312.450999,1249.813530
iteracion,52,3514.375200,312.861196,1251.454331
iteracion,53,3514.107300,312.885047,1251.549737
iteracion,54,3540.317800,310.568624,1242.283974
iteracion,55,3518.408600,312.502541,1250.019701
iteracion,56,3525.837200,311.844128,1247.386029
iteracion,57,3518.212200,312.519986,1250.089482
iteracion,58,3542.684700,310.361130,1241.453993
iteracion,59,3521.637700,312.215998,1248.873519
iteracion,60,3514.192200,312.877488,1251.519500
iteracion,61,3517.391300,312.592923,1250.381232
iteracion,62,3541.144300,310.496138,1241.994026
iteracion,63,3537.979400,310.773892,1243.105052
iteracion,64,3537.286200,310.834794,1243.348662
iteracion,65,3542.764800,310.354113,1241.425924
iteracion,66,3513.574700,312.932475,1251.739451
iteracion,67,3548.496900,309.852780,1239.420574
