iter,tiempo_ms,gflops
0,153.359000,1792.381973
1,37.635000,7303.783897
2,33.337600,8245.281812
3,38.428600,7152.951368
4,33.356800,8240.535871
5,37.721000,7287.132020
6,33.755000,8143.324158
7,35.613300,7718.405959
8,35.282800,7790.705583
9,43.634300,6299.583285
10,36.839800,7461.438633
11,33.958000,8094.643588
12,34.723700,7916.146809
13,33.556600,8191.470737
14,34.415100,7987.130851
15,34.951600,7864.530006
16,36.610300,7508.212360
17,32.601900,8431.346239
18,32.167600,8545.179216
19,32.474600,8464.397004
20,37.067500,7415.604153
21,40.637900,6764.077547
22,34.436700,7982.121020
23,34.625200,7938.666259
24,32.783200,8384.718604
25,33.994600,8085.928558
26,34.768400,7905.969413
27,35.256000,7796.627721
28,33.851000,8120.230036
29,32.296900,8510.968760
30,32.766600,8388.966415
31,41.114800,6685.619459
32,33.758200,8142.552237
33,34.421200,7985.715401
34,31.976600,8596.220578
35,31.870400,8624.865296
36,34.136500,8052.316639
37,31.957700,8601.304441
38,36.770400,7475.521260
39,35.970200,7641.823147
40,34.500700,7967.313908
41,33.727600,8149.939721
42,33.338900,8244.960300
43,33.635900,8172.158525
44,43.595400,6305.204378
45,35.798600,7678.454100
46,35.073400,7837.218717
47,38.587700,7123.459210
48,72.610200,3785.665195
49,32.016400,8585.534506
50,32.443400,8472.537001
51,34.536200,7959.124251
52,37.584500,7313.597545
53,34.360100,7999.915802
54,34.104800,8059.801170
55,32.556000,8443.233412
56,35.888100,7659.305088
57,36.714000,7487.005146
58,32.834700,8371.567486
59,32.476900,8463.797559
60,32.264500,8519.515472
61,35.637300,7713.207986
62,37.808200,7270.325140
63,32.376000,8490.175035
64,32.315900,8505.964771
65,32.175700,8543.028029
66,39.553700,6949.486570
67,43.289300,6349.788676
68,38.143000,7206.509895
69,35.962700,7643.416844
70,32.513500,8454.269978
71,32.530300,8449.903842
72,33.582900,8185.055696
73,32.515100,8453.853962
74,32.450400,8470.709358
75,32.493400,8459.499681
76,34.353200,8001.522622
77,36.262500,7580.224942
78,34.929000,7869.618567
79,36.240700,7584.784702
80,32.652800,8418.203246
81,32.099100,8563.414767
82,33.918300,8104.118041
83,32.411700,8480.823497
84,32.436600,8474.313181
85,32.415800,8479.750830
86,35.972400,7641.355788
87,33.021800,8324.134570
88,32.231100,8528.343958
89,31.793600,8645.699353
90,32.017300,8585.293168
91,32.203800,8535.573657
92,32.498300,8458.224182
93,32.632600,8423.414222
94,32.363300,8493.506748
95,34.309600,8011.690808
96,34.097200,8061.597637
97,33.323800,8248.696335
98,32.728000,8398.860515
99,34.015100,8081.055383
100,33.572600,8187.566853
101,33.530600,8197.822495
102,32.536100,8448.397532
103,32.808600,8378.227262
104,35.318700,7782.786653
105,36.596000,7511.146217
106,33.211700,8276.538297
107,32.543800,8446.398606
108,34.411900,7987.873583
109,35.955600,7644.926157
110,32.517700,8453.178021
111,32.474700,8464.370939
112,32.121200,8557.522974
113,32.821800,8374.857776
114,36.869200,7455.488780
115,34.618200,7940.271503
116,32.724100,8399.861476
117,32.667500,8414.415151
118,32.442300,8472.824274
119,35.694700,7700.804516
120,33.029800,8322.118419
121,32.073900,8570.142918
122,31.888000,8620.104959
123,33.945500,8097.624337
124,42.367900,6487.881319
125,37.268400,7375.629406
126,32.306400,8508.466030
127,31.852500,8629.712172
128,32.335000,8500.940372
129,34.746500,7910.952382
130,33.020500,8324.462287
131,32.527800,8450.553279
132,32.187300,8539.949202
133,66.725100,4119.557812
134,32.440200,8473.372758
135,32.480400,8462.885523
136,35.547600,7732.671318
137,37.630400,7304.676723
138,32.439900,8473.451119
139,32.216900,8532.102932
140,32.140500,8552.384280
141,32.423400,8477.763188
142,34.132600,8053.236699
143,33.684100,8160.464639
144,33.023200,8323.781673
145,35.099800,7831.324023
146,32.536300,8448.345600
147,32.539300,8447.566694
148,32.448500,8471.205354
149,34.370200,7997.564953
150,41.150200,6679.868067
151,32.888700,8357.822199
152,32.036600,8580.121079
153,31.931600,8608.334908
154,32.925100,8348.582296
155,36.625100,7505.178332
156,33.506900,8203.620954
157,32.507400,8455.856419
158,33.175800,8285.494455
159,39.295200,6995.203153
160,34.425000,7984.833898
161,33.647400,8169.365447
162,32.557400,8442.870344
163,32.454700,8469.587054
164,37.161500,7396.846385
165,33.072400,8311.398838
166,32.397500,8484.540688
167,32.274900,8516.770213
168,34.327700,8007.466476
169,37.277900,7373.749781
170,32.567700,8440.200166
171,32.248800,8523.663111
172,32.277100,8516.189712
173,33.761000,8141.876927
174,40.855600,6728.035005
175,36.298000,7572.811365
176,36.485300,7533.935775
177,32.326800,8503.096717
178,32.369600,8491.853682
179,34.992800,7855.270425
180,33.382500,8234.191775
181,32.617600,8427.287935
182,31.848400,8630.823117
183,32.141200,8552.198018
184,34.449500,7979.155197
185,34.869100,7883.137418
186,33.310200,8252.064141
187,33.768200,8140.140930
188,34.730300,7914.642458
189,32.088700,8566.190184
190,32.986700,8332.991992
191,31.994900,8591.303831
192,31.819400,8638.689194
193,33.188900,8282.224085
194,32.324300,8503.754356
195,32.254000,8522.288924
196,32.345600,8498.154523
197,39.196400,7012.835540
198,35.882800,7660.436391
199,32.567300,8440.303831
200,32.089500,8565.976626
201,32.049900,8576.560518
202,40.499800,6787.142330
203,35.832200,7671.253982
204,35.703500,7698.906464
205,38.401700,7157.961938
206,32.682900,8410.450325
207,32.107200,8561.254390
208,32.200300,8536.501428
209,33.049500,8317.157807
210,35.763300,7686.033083
211,34.625500,7938.597477
212,33.614100,8177.458476
213,35.052200,7841.958763
214,32.699400,8406.206442
215,32.112600,8559.814744
216,32.149400,8550.016702
217,39.780100,6909.935041
218,45.349300,6061.348399
219,36.517300,7527.333810
220,34.118900,8056.470371
221,31.912400,8613.514087
222,32.140300,8552.437499
223,62.433100,4402.759225
224,32.729800,8398.398614
225,32.503300,8456.923049
226,32.578000,8437.531676
227,32.936300,8345.743358
228,32.620300,8426.590404
229,37.307100,7367.978399
230,38.050900,7223.952835
231,32.140300,8552.437499
232,32.359000,8494.635401
233,32.504200,8456.688888
234,35.378600,7769.609508
235,42.466100,6472.878530
236,33.961100,8093.904701
237,32.997600,8330.239379
238,32.847000,8368.432641
239,33.241200,8269.193258
240,32.490700,8460.202672
241,33.725400,8150.471364
242,32.836800,8371.032102
243,33.545400,8194.205672
244,36.616300,7506.982053
245,33.159900,8289.467307
246,32.753300,8392.372889
247,32.471600,8465.179016
248,32.857000,8365.885715
249,35.503900,7742.189082
250,38.236400,7188.906564
251,33.817700,8128.225957
252,33.093600,8306.074496
253,32.373800,8490.751995
254,33.420100,8224.927721
255,33.257500,8265.140403
256,31.886700,8620.456395
257,32.100700,8562.987939
258,31.911200,8613.837992
259,32.598100,8432.329091
260,33.596300,8181.791059
261,32.724700,8399.707467
262,33.645200,8169.899627
263,32.673700,8412.818473
264,32.804600,8379.248854
265,32.442400,8472.798157
266,32.619400,8426.822901
267,39.073700,7034.857383
268,43.681400,6292.790683
269,35.678200,7704.365886
270,34.323400,8008.469643
271,32.606200,8430.234340
272,32.608300,8429.691427
273,33.830400,8125.174605
274,32.276000,8516.479952
275,32.168300,8544.993268
276,32.456200,8469.195622
277,61.828000,4445.848272
278,34.296200,8014.821086
279,34.995100,7854.754150
