iter,tiempo_ms,gflops
0,2384.097300,115.296430
1,2202.361200,124.810547
2,2200.981700,124.888774
3,2174.196700,126.427341
4,2211.521700,124.293561
5,2275.577200,120.794806
6,2200.087200,124.939551
7,2202.123500,124.824020
8,2200.565500,124.912395
9,2199.449700,124.975764
10,2189.226100,125.559396
11,2169.103100,126.724224
12,2169.210200,126.717967
13,2218.980000,123.875793
14,2207.374800,124.527066
15,2174.185400,126.427998
16,2188.016900,125.628786
17,2185.673200,125.763498
18,2164.063500,127.019335
19,2174.804600,126.392002
20,2170.094500,126.666330
21,2176.050800,126.319619
22,2193.305900,125.325841
23,2167.383500,126.824767
24,2196.476800,125.144917
25,2196.750800,125.129308
26,2164.072800,127.018789
27,2200.707000,124.904363
28,2191.912500,125.405511
29,2254.368300,121.931233
30,2270.904300,121.043369
31,2183.896600,125.865807
32,2191.065800,125.453972
33,2177.705300,126.223648
34,2182.694800,125.935109
35,2173.960300,126.441089
36,2173.962500,126.440961
37,2184.039600,125.857565
38,2212.967500,124.212356
39,2164.963000,126.966561
40,2196.851500,125.123572
41,2217.678800,123.948476
42,2206.887200,124.554579
43,2206.550600,124.573580
44,2208.586100,124.458769
45,2224.788700,123.552366
46,2178.529500,126.175894
47,2182.254600,125.960512
48,2182.312700,125.957159
49,2174.833300,126.390334
50,2178.050300,126.203654
51,2178.887300,126.155174
52,2167.289500,126.830267
53,2165.480600,126.936213
54,2171.698600,126.572770
55,2164.012100,127.022352
56,2163.480500,127.053563
57,2163.809200,127.034263
58,2163.339000,127.061874
59,2163.707800,127.040216
60,2163.958000,127.025528
61,2163.506500,127.052037
62,2163.738300,127.038426
63,2163.311700,127.063477
64,2163.851700,127.031768
65,2163.759600,127.037175
66,2163.388900,127.058943
67,2163.688200,127.041367
68,2163.332900,127.062232
69,2163.794300,127.035138
70,2163.498700,127.052495
71,2163.963400,127.025211
72,2163.446600,127.055554
73,2163.755800,127.037398
74,2163.403100,127.058109
75,2165.245400,126.950002
76,2163.524500,127.050980
77,2163.805300,127.034492
78,2163.500900,127.052365
79,2163.814600,127.033946
80,2163.415400,127.057387
81,2163.474200,127.053933
82,2163.793400,127.035191
83,2163.260300,127.066496
84,2163.866600,127.030893
85,2163.510000,127.051831
86,2163.733500,127.038707
87,2163.597400,127.046699
88,2163.441800,127.055836
89,2163.753600,127.037527
90,2163.375100,127.059754
91,2163.758000,127.037269
92,2163.316500,127.063195
93,2163.427900,127.056653
94,2163.725800,127.039159
95,2163.292600,127.064599
96,2163.352200,127.061098
97,2163.741200,127.038255
98,2163.421700,127.057017
99,2163.897200,127.029097
100,2163.363200,127.060452
101,2163.371200,127.059983
102,2165.271000,126.948501
103,2163.438600,127.056024
104,2163.414500,127.057439
105,2163.809000,127.034275
106,2163.393000,127.058702
107,2163.410900,127.057651
108,2163.757900,127.037275
109,2163.443000,127.055766
110,2163.388000,127.058996
111,2163.478200,127.053699
112,2163.799900,127.034809
113,2163.324300,127.062737
114,2163.359500,127.060670
115,2166.853700,126.855776
116,2179.705300,126.107831
117,2165.258700,126.949222
118,2166.989500,126.847826
119,2166.691000,126.865301
120,2170.148100,126.663202
121,2163.494100,127.052765
122,2163.731300,127.038837
123,2163.424600,127.056846
124,2163.335100,127.062103
125,2163.456600,127.054967
126,2163.787000,127.035566
127,2163.553800,127.049259
128,2163.412100,127.057580
129,2163.446500,127.055560
130,2165.245800,126.949978
131,2163.521000,127.051185
132,2163.547600,127.049623
133,2163.393300,127.058685
134,2163.897700,127.029067
135,2163.481700,127.053493
136,2163.419700,127.057134
137,2163.423500,127.056911
138,2163.872900,127.030523
139,2163.436100,127.056171
140,2163.450600,127.055319
141,2163.399000,127.058350
142,2163.712300,127.039952
143,2163.492900,127.052835
144,2163.547600,127.049623
145,2163.440400,127.055918
146,2163.449800,127.055366
147,2163.914400,127.028087
148,2163.426900,127.056711
149,2163.275100,127.065627
150,2163.377600,127.059607
151,2163.755900,127.037392
152,2163.478900,127.053657
153,2163.441100,127.055877
154,2163.353400,127.061028
155,2163.496400,127.052630
156,2163.773300,127.036371
157,2164.867800,126.972144
158,2163.603300,127.046352
159,2163.508800,127.051901
160,2163.466700,127.054374
161,2163.306100,127.063806
162,2163.843900,127.032226
163,2163.338300,127.061915
164,2163.536400,127.050281
165,2163.439600,127.055965
166,2163.435800,127.056189
167,2163.718900,127.039565
168,2163.390400,127.058855
169,2163.415100,127.057404
170,2163.357200,127.060805
171,2163.502700,127.052260
172,2163.418900,127.057181
173,2163.764100,127.036911
174,2163.471300,127.054104
175,2163.471900,127.054068
176,2163.535700,127.050322
177,2163.603900,127.046317
178,2163.577100,127.047891
179,2163.812300,127.034081
180,2163.564400,127.048636
181,2163.548300,127.049582
182,2163.427800,127.056658
183,2163.574700,127.048032
184,2164.780400,126.977271
185,2163.701900,127.040563
186,2163.379100,127.059519
187,2163.370900,127.060000
188,2163.493100,127.052823
189,2163.375300,127.059742
190,2163.446500,127.055560
191,2163.384000,127.059231
192,2163.795600,127.035061
193,2163.535800,127.050316
194,2163.426800,127.056717
195,2163.408200,127.057809
196,2163.429000,127.056588
197,2163.356000,127.060875
198,2163.558500,127.048983
199,2163.521000,127.051185
200,2163.428100,127.056641
201,2163.386700,127.059072
202,2163.478600,127.053675
203,2163.355700,127.060893
204,2163.390700,127.058837
205,2163.473100,127.053998
206,2163.389700,127.058896
207,2163.517800,127.051373
208,2163.415300,127.057393
209,2164.958700,126.966813
210,2163.331900,127.062291
211,2163.375600,127.059724
212,2167.557800,126.814568
213,2174.514400,126.408869
214,2163.436500,127.056147
215,2163.273500,127.065721
216,2163.491900,127.052894
